0.33	125.93	122.37		283.03	341.18		508.63	520.27		794.57	568.01		713.14	368.61		536.17	102.35		674.05	331.71		514.21	420.54		110.74	179.31		102.99	250.03	
0.34	125.14	124.26		280.94	340.64		506.74	520.46		794.86	568.98		712.72	369.78		538.66	102.3		672.9	329.58		516.58	422.92		112.52	178.38		104.02	247.94	
0.35	124.35	126.15		278.85	340.1		504.85	520.65		795.15	569.95		712.3	370.95		541.15	102.25		671.75	327.45		518.95	425.3		114.3	177.45		105.05	245.85	
0.36	123.56	128.04		276.76	339.56		502.96	520.84		794.86	570.92		711.88	372.12		543.64	102.2		670.6	325.32		521.32	427.68		116.08	176.52		106.08	243.76	
0.37	122.77	129.93		274.67	339.02		501.07	521.03		794.57	571.89		711.46	373.29		546.13	102.15		669.45	323.19		523.69	430.06		117.86	175.59		107.11	241.67	
0.38	121.98	131.82		272.58	338.48		499.18	521.22		794.28	572.86		711.04	374.46		548.62	102.1		668.3	321.06		526.06	432.44		119.64	174.66		108.14	239.58	
0.39	121.19	133.71		270.49	337.94		497.29	521.41		793.99	573.83		710.62	375.63		551.11	102.05		667.15	318.93		528.43	434.82		121.42	173.73		109.17	237.49	
0.4	120.4	135.6		268.4	337.4		495.4	521.6		793.7	574.8		710.2	376.8		553.6	102		666	316.8		530.8	437.2		123.2	172.8		110.2	235.4	
0.41	119.61	137.49		266.31	336.86		493.51	521.79		793.41	575.77		709.78	377.97		556.09	101.95		664.85	314.67		533.17	439.58		124.98	171.87		111.23	233.31	
0.42	118.82	139.38		264.22	336.32		491.62	521.98		793.12	576.74		709.36	379.14		558.58	101.9		663.7	312.54		535.54	441.96		126.76	170.94		112.26	231.22	
0.43	118.03	141.27		262.13	335.78		489.73	522.17		792.83	577.71		708.94	380.31		561.07	101.85		662.55	310.41		537.91	444.34		128.54	170.01		113.29	229.13	
0.44	117.24	143.16		260.04	335.24		487.84	522.36		792.54	578.68		708.52	381.48		563.56	101.8		661.4	308.28		540.28	446.72		130.32	169.08		114.32	227.04	
0.45	116.45	145.05		257.95	334.7		485.95	522.55		792.25	579.65		708.1	382.65		566.05	101.75		660.25	306.15		542.65	449.1		132.1	168.15		115.35	224.95	
0.46	115.66	146.94		255.86	334.16		484.06	522.74		791.96	580.62		707.68	383.82		568.54	101.7		659.1	304.02		545.02	451.48		133.88	167.22		116.38	222.86	
0.47	114.87	148.83		253.77	333.62		482.17	522.93		791.67	581.59		707.26	384.99		571.03	101.65		657.95	301.89		547.39	453.86		135.66	166.29		117.41	220.77	
0.48	114.08	150.72		251.68	333.08		480.28	523.12		791.38	582.56		706.84	386.16		573.52	101.6		656.8	299.76		549.76	456.24		137.44	165.36		118.44	218.68	
0.49	113.29	152.61		249.59	332.54		478.39	523.31		791.09	583.53		706.42	387.33		576.01	101.55		655.65	297.63		552.13	458.62		139.22	164.43		119.47	216.59	
0.5	112.5	154.5		247.5	332		476.5	523.5		790.8	584.5		706	388.5		578.5	101.5		654.5	295.5		554.5	461		141	163.5		120.5	214.5	
0.51	111.71	156.39		245.41	331.46		474.61	523.69		790.51	585.47		705.58	389.67		580.99	101.45		653.35	293.37		556.87	463.38		142.78	162.57		121.53	212.41	
0.52	110.92	158.28		243.32	330.92		472.72	523.88		790.22	586.44		705.16	390.84		583.48	101.4		652.2	291.24		559.24	465.76		144.56	161.64		122.56	210.32	
0.53	110.13	160.17		241.23	330.38		470.83	524.07		789.93	587.41		704.74	392.01		585.97	101.35		651.05	289.11		561.61	468.14		146.34	160.71		123.59	208.23	
0.54	109.34	162.06		239.14	329.84		468.94	524.26		789.64	588.38		704.32	393.18		588.46	101.3		649.9	286.98		563.98	470.52		148.12	159.78		124.62	206.14	
0.55	108.55	163.95		237.05	329.3		467.05	524.45		789.35	589.35		703.9	394.35		590.95	101.25		648.75	284.85		566.35	472.9		149.9	158.85		125.65	204.05	
0.56	107.76	165.84		234.96	328.76		465.16	524.64		789.06	590.32		703.48	395.52		593.44	101.2		647.6	282.72		568.72	475.28		151.68	157.92		126.68	201.96	
0.57	106.97	167.73		232.87	328.22		463.27	524.83		788.77	591.29		703.06	396.69		595.93	101.15		646.45	280.59		571.09	477.66		153.46	156.99		127.71	199.87	
0.58	106.18	169.62		230.78	327.68		461.38	525.02		788.48	592.26		702.64	397.86		598.42	101.1		645.3	278.46		573.46	480.04		155.24	156.06		128.74	197.78	
0.59	105.39	171.51		228.69	327.14		459.49	525.21		788.19	593.23		702.22	399.03		600.91	101.05		644.15	276.33		575.83	482.42		157.02	155.13		129.77	195.69	
0.6	104.6	173.4		226.6	326.6		457.6	525.4		787.9	594.2		701.8	400.2		603.4	101		643	274.2		578.2	484.8		158.8	154.2		130.8	193.6	
0.61	103.81	175.29		224.51	326.06		455.71	525.59		787.61	595.17		701.38	401.37		605.89	100.95		641.85	272.07		580.57	487.18		160.58	153.27		131.83	191.51	
0.62	103.02	177.18		222.42	325.52		453.82	525.78		787.32	596.14		700.96	402.54		608.38	100.9		640.7	269.94		582.94	489.56		162.36	152.34		132.86	189.42	
0.63	102.23	179.07		220.33	324.98		451.93	525.97		787.03	597.11		700.54	403.71		610.87	100.85		639.55	267.81		585.31	491.94		164.14	151.41		133.89	187.33	
0.64	101.44	180.96		218.24	324.44		450.04	526.16		786.74	598.08		700.12	404.88		613.36	100.8		638.4	265.68		587.68	494.32		165.92	150.48		134.92	185.24	
0.65	100.65	182.85		216.15	323.9		448.15	526.35		786.45	599.05		699.7	406.05		615.85	100.75		637.25	263.55		590.05	496.7		167.7	149.55		135.95	183.15	
